id,tema,status,responsavel,data,artefatos,github_issue,pr,prioridade,area
ISSUE-001,Implementar LTD explícita em sinapses,Concluída,Codex,2026-02-19,docs/development/prompts/relatorios/ISSUE-001-implementar-ltd-explicita-em-sinapses.md; docs/development/prompts/execucoes/EXEC-001-correcoes-ordem-neuronal.md,,,Alta,Core/Plasticidade
ISSUE-002,Refatorar HUB com cards limpos e split view de links,Concluída,Codex,2026-02-19,docs/development/prompts/relatorios/ISSUE-002-refatorar-hub-cards-limpos-split-view-links.md; docs/development/prompts/execucoes/EXEC-002-refatorar-hub-cards-limpos-split-view-links.md,,,Alta,Governança/UX Docs
ISSUE-003,Plano 1: Reposicionar issues no fluxo oficial do HUB,Concluída,Codex,2026-02-19,docs/development/prompts/relatorios/ISSUE-003-plano-1-reposicionar-issues-no-hub.md; docs/development/prompts/execucoes/EXEC-003-plano-1-reposicionar-issues-no-hub.md,,,Alta,Governança/Fluxo
ISSUE-004,Plano 2: Sanear links e navegação documental,Concluída,Codex,2026-02-19,docs/development/prompts/relatorios/ISSUE-004-plano-2-sanear-links-documentacao.md; docs/development/prompts/execucoes/EXEC-004-plano-2-sanear-links-documentacao.md,,,Alta,Documentação/Qualidade
ISSUE-006,Plano 4: Consolidar correções de código e testes mínimos,Concluída,Codex,2026-02-19,docs/development/prompts/relatorios/ISSUE-006-plano-4-consolidar-correcoes-codigo-testes.md; docs/development/prompts/execucoes/EXEC-006-plano-4-consolidar-correcoes-codigo-testes.md,,,Alta,Core/Testes/Docs
ISSUE-010,Falhas regressivas na suíte completa de testes,Concluída,Codex,2026-02-20,docs/development/prompts/relatorios/ISSUE-010-falhas-regressivas-na-su-te-completa-de-testes.md; docs/RELATORIO_FINAL_EXECUCAO_TESTES_ISSUE-010.md; outputs/test_logs/pytest_full.log; outputs/test_logs/pytest-junit.xml,,,Alta,Qualidade/Testes
ISSUE-011,Micro-otimização do forward e análise dos testes pulados,Concluída,Codex,2026-02-20,docs/development/prompts/relatorios/ISSUE-011-otimizacao-forward-e-analise-de-skips.md; docs/development/prompts/execucoes/EXEC-011-otimizacao-forward-e-analise-de-skips.md; outputs/test_logs/pytest_full.log; outputs/test_logs/pytest-junit.xml,,,Alta,Qualidade/Performance
ISSUE-012,Validar assinatura digital opcional e medir overhead de telemetria,Concluída,Codex,2026-02-20,docs/development/prompts/relatorios/ISSUE-012-validacao-criptografia-e-telemetria.md; docs/development/prompts/execucoes/EXEC-012-validacao-criptografia-e-telemetria.md,,,Alta,Segurança/Performance
ISSUE-013,MindControl - Cérebro Externo e Mutação em Tempo Real,Concluída,Codex,2026-02-20,docs/development/prompts/relatorios/ISSUE-013-mindcontrol.md; docs/development/prompts/execucoes/EXEC-013-mindcontrol.md; docs/governance/adr/ADR-044-mindcontrol-cerebro-externo-e-mutacao-runtime-segura.md; src/pyfolds/monitoring/mindcontrol.py; tests/integration/test_mindcontrol_runtime.py,,,Alta,Core/Telemetria/Neuromodulação
ISSUE-014,Hardening de integridade de pesos (sanity check VRAM),Concluída,Codex,2026-02-20,docs/development/prompts/relatorios/ISSUE-014-hardening-integridade-pesos-vram.md; docs/development/prompts/execucoes/EXEC-014-hardening-integridade-pesos-vram.md; docs/governance/adr/ADR-046-monitoramento-periodico-de-integridade-dos-pesos.md; src/pyfolds/monitoring/health.py; tests/unit/core/test_health_monitor.py,,,Alta,Segurança/Runtime
ISSUE-014,Sanity check periódico de integridade de pesos e atualização docs v2.0.2,Concluída,Codex,2026-02-20,docs/development/prompts/relatorios/ISSUE-014-sanity-check-integridade-pesos-e-atualizacao-docs-v2-0-2.md; docs/development/prompts/execucoes/EXEC-014-sanity-check-integridade-pesos-e-atualizacao-docs-v2-0-2.md; docs/governance/adr/ADR-046-sanity-check-periodico-de-integridade-de-pesos.md; src/pyfolds/monitoring/health.py; tests/unit/core/test_monitoring_and_checkpoint.py,,,Alta,Segurança/Runtime/Docs
ISSUE-015,"Hardening final do Core v2.0.3: integridade runtime, telemetria bufferizada e carga segura",Concluída,Codex,2026-02-20,docs/development/prompts/relatorios/ISSUE-015-hardening-core-runtime-v2-0-3.md; docs/development/prompts/execucoes/EXEC-015-hardening-core-runtime-v2-0-3.md; docs/governance/adr/ADR-047-runtime-integrity-enforcement-v2-0-3.md; src/pyfolds/monitoring/health.py; src/pyfolds/telemetry/sinks.py; src/pyfolds/serialization/versioned_checkpoint.py; tests/unit/core/test_monitoring_and_checkpoint.py; tests/unit/telemetry/test_sinks.py,,,Alta,Segurança/Runtime/Telemetria

